Rango,Frecuencia,Frecuencia Relativa
0-1020,317120,0.23914200866618304
1020-2040,111026,0.08372534262793781
2040-3061,57541,0.04339199773164997
3061-4081,39605,0.029866357382770495
4081-5102,66955,0.05049114906106296
5102-6122,24300,0.01832476920594175
6122-7143,20294,0.0153038216570116
7143-8163,17039,0.012849207510289772
8163-9184,13117,0.009891604842565347
9184-10204,11554,0.008712937588701687
10204-11225,10350,0.007804994291419634
11225-12245,9062,0.006833706112931858
12245-13265,7483,0.005642973167409963
13265-14286,6838,0.005156574972437436
14286-15306,8089,0.006099961238965548
15306-16327,6877,0.005185985095854379
16327-17347,7226,0.005449167995149592
17347-18368,5650,0.004260697366813617
18368-19388,7363,0.005552480479973214
19388-20409,3949,0.0029779635223976943
20409-21429,3759,0.0028346834339561745
21429-22450,3646,0.002749469486619902
22450-23470,4250,0.0032049493467182074
23470-24491,2816,0.0021235617318490522
24491-25511,2804,0.002114512463105377
25511-26531,2056,0.0015504413780829728
26531-27552,2454,0.0018505754580815249
27552-28572,2006,0.0015127360916509939
28572-29593,1843,0.0013898168578827426
29593-30613,1913,0.001442604258887513
30613-31634,2081,0.001569294021298962
31634-32654,1446,0.00109043688361283
32654-33675,2116,0.0015956877218013474
33675-34695,1398,0.0010542398086381302
34695-35716,2096,0.001580605607228556
35716-36736,1446,0.00109043688361283
36736-37757,1651,0.0012450285579839436
37757-38777,1883,0.0014199810870283258
38777-39797,1912,0.0014418501531588736
39797-40818,1388,0.0010466987513517345
40818-41838,1125,0.0008483689447195254
41838-42859,977,0.0007367612968808679
42859-43879,1295,0.0009765669185882537
43879-44900,756,0.000570103930851521
44900-45920,761,0.000573874459494719
45920-46941,1564,0.0011794213595923003
46941-47961,1006,0.0007586303630114157
47961-48982,627,0.0004728242918570155
48982-50002,1158,0.0008732544337646315
50002-51023,594,0.00044793880281190945
