Rango,Frecuencia,Frecuencia Relativa
0.000000-0.010600,36068,0.7213744274885497
0.010600-0.021100,81,0.001620032400648013
0.021100-0.031700,44,0.000880017600352007
0.031700-0.042200,31,0.000620012400248005
0.042200-0.052800,30,0.0006000120002400048
0.052800-0.063300,19,0.00038000760015200304
0.063300-0.073900,18,0.0003600072001440029
0.073900-0.084500,29,0.0005800116002320047
0.084500-0.095000,198,0.003960079201584032
0.095000-0.106000,4393,0.08786175723514471
0.106000-0.116000,471,0.009420188403768076
0.116000-0.127000,4,8.000160003200064e-05
0.127000-0.137000,1,2.000040000800016e-05
0.137000-0.148000,1,2.000040000800016e-05
0.148000-0.158000,1,2.000040000800016e-05
0.158000-0.169000,0,0.0
0.169000-0.179000,1,2.000040000800016e-05
0.179000-0.190000,4,8.000160003200064e-05
0.190000-0.201000,8,0.0001600032000640013
0.201000-0.211000,32,0.0006400128002560051
0.211000-0.222000,3,6.000120002400048e-05
0.222000-0.232000,2,4.000080001600032e-05
0.232000-0.243000,1,2.000040000800016e-05
0.243000-0.253000,0,0.0
0.253000-0.264000,0,0.0
0.264000-0.274000,1,2.000040000800016e-05
0.274000-0.285000,0,0.0
0.285000-0.296000,0,0.0
0.296000-0.306000,0,0.0
0.306000-0.317000,1,2.000040000800016e-05
0.317000-0.327000,0,0.0
0.327000-0.338000,3,6.000120002400048e-05
0.338000-0.348000,0,0.0
0.348000-0.359000,0,0.0
0.359000-0.370000,0,0.0
0.370000-0.380000,1,2.000040000800016e-05
0.380000-0.391000,0,0.0
0.391000-0.401000,0,0.0
0.401000-0.412000,7,0.00014000280005600112
0.412000-0.422000,74,0.0014800296005920118
0.422000-0.433000,25,0.000500010000200004
0.433000-0.443000,0,0.0
0.443000-0.454000,0,0.0
0.454000-0.465000,0,0.0
0.465000-0.475000,0,0.0
0.475000-0.486000,0,0.0
0.486000-0.496000,0,0.0
0.496000-0.507000,0,0.0
0.507000-0.517000,0,0.0
0.517000-0.528000,1,2.000040000800016e-05
