Rango,Frecuencia,Frecuencia Relativa
-0.000001-0.005360,47633,0.9526790535810716
0.005360-0.010700,695,0.013900278005560112
0.010700-0.016100,362,0.007240144802896058
0.016100-0.021500,257,0.005140102802056041
0.021500-0.026800,166,0.0033200664013280264
0.026800-0.032200,163,0.003260065201304026
0.032200-0.037600,110,0.002200044000880018
0.037600-0.042900,95,0.0019000380007600153
0.042900-0.048300,91,0.0018200364007280145
0.048300-0.053700,85,0.0017000340006800136
0.053700-0.059000,78,0.0015600312006240125
0.059000-0.064400,50,0.001000020000400008
0.064400-0.069800,44,0.000880017600352007
0.069800-0.075100,29,0.0005800116002320047
0.075100-0.080500,40,0.0008000160003200064
0.080500-0.085900,28,0.0005600112002240045
0.085900-0.091200,21,0.00042000840016800337
0.091200-0.096600,14,0.00028000560011200225
0.096600-0.102000,16,0.0003200064001280026
0.102000-0.107000,11,0.00022000440008800175
0.107000-0.113000,3,6.000120002400048e-05
0.113000-0.118000,0,0.0
0.118000-0.123000,0,0.0
0.123000-0.129000,0,0.0
0.129000-0.134000,1,2.000040000800016e-05
0.134000-0.140000,0,0.0
0.140000-0.145000,2,4.000080001600032e-05
0.145000-0.150000,0,0.0
0.150000-0.156000,0,0.0
0.156000-0.161000,1,2.000040000800016e-05
0.161000-0.166000,0,0.0
0.166000-0.172000,0,0.0
0.172000-0.177000,0,0.0
0.177000-0.182000,0,0.0
0.182000-0.188000,0,0.0
0.188000-0.193000,0,0.0
0.193000-0.199000,0,0.0
0.199000-0.204000,2,4.000080001600032e-05
0.204000-0.209000,0,0.0
0.209000-0.215000,0,0.0
0.215000-0.220000,0,0.0
0.220000-0.225000,0,0.0
0.225000-0.231000,0,0.0
0.231000-0.236000,0,0.0
0.236000-0.241000,0,0.0
0.241000-0.247000,0,0.0
0.247000-0.252000,0,0.0
0.252000-0.258000,0,0.0
0.258000-0.263000,0,0.0
0.263000-0.268000,1,2.000040000800016e-05
